Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
088,zero eight eight,jnt4qb,jay en tee four q bee,GenericPronunciation,p339,train,dump/alphanumeric_features/1217_prompt.pth,dump/alphanumeric_features/1217_seq.pth,dump/alphanumeric/1217_prompt.wav,dump/alphanumeric/1217_seq.wav
78,seven eight,l4sd98,l four es dee nine eight,GenericPronunciation,p341,train,dump/alphanumeric_features/1218_prompt.pth,dump/alphanumeric_features/1218_seq.pth,dump/alphanumeric/1218_prompt.wav,dump/alphanumeric/1218_seq.wav
150,one faaev zero,f9ntv4,ef nine en ti wee fo,GenericPronunciation,p269,train,dump/alphanumeric_features/1220_prompt.pth,dump/alphanumeric_features/1220_seq.pth,dump/alphanumeric/1220_prompt.wav,dump/alphanumeric/1220_seq.wav
db,dee bee,2his7s,two h eye s seven es,GenericPronunciation,p258,train,dump/alphanumeric_features/1221_prompt.pth,dump/alphanumeric_features/1221_seq.pth,dump/alphanumeric/1221_prompt.wav,dump/alphanumeric/1221_seq.wav
m7,em seven,qmh312,cuu em aeych three one two,GenericPronunciation,p317,train,dump/alphanumeric_features/1222_prompt.pth,dump/alphanumeric_features/1222_seq.pth,dump/alphanumeric/1222_prompt.wav,dump/alphanumeric/1222_seq.wav
9q,nine q,b9smue,bee nine s em uu ee,GenericPronunciation,p311,train,dump/alphanumeric_features/1223_prompt.pth,dump/alphanumeric_features/1223_seq.pth,dump/alphanumeric/1223_prompt.wav,dump/alphanumeric/1223_seq.wav
ttqm,tee ti q em,ktwjv2,kay tee double you jay wee two,GenericPronunciation,p285,train,dump/alphanumeric_features/1225_prompt.pth,dump/alphanumeric_features/1225_seq.pth,dump/alphanumeric/1225_prompt.wav,dump/alphanumeric/1225_seq.wav
549,faaev fo nine,s5y9ak,s faaev wai nine ae k,GenericPronunciation,p303,train,dump/alphanumeric_features/1226_prompt.pth,dump/alphanumeric_features/1226_seq.pth,dump/alphanumeric/1226_prompt.wav,dump/alphanumeric/1226_seq.wav
88,eight eight,0qfw1h,zero cuu ef double you one h,GenericPronunciation,p256,train,dump/alphanumeric_features/1227_prompt.pth,dump/alphanumeric_features/1227_seq.pth,dump/alphanumeric/1227_prompt.wav,dump/alphanumeric/1227_seq.wav
14,one fo,8xd8uk,eight eks dee eight uu kay,GenericPronunciation,p294,train,dump/alphanumeric_features/1230_prompt.pth,dump/alphanumeric_features/1230_seq.pth,dump/alphanumeric/1230_prompt.wav,dump/alphanumeric/1230_seq.wav
kstf,kay s ti ef,83v8ji,eight three v eight j i,GenericPronunciation,p317,train,dump/alphanumeric_features/1231_prompt.pth,dump/alphanumeric_features/1231_seq.pth,dump/alphanumeric/1231_prompt.wav,dump/alphanumeric/1231_seq.wav
kstf,k s tee ef,tg6qzl,tee jee six q zed l,GenericPronunciation,p284,train,dump/alphanumeric_features/1232_prompt.pth,dump/alphanumeric_features/1232_seq.pth,dump/alphanumeric/1232_prompt.wav,dump/alphanumeric/1232_seq.wav
3sk,three es kay,9q10o3,nine q one zero o three,GenericPronunciation,p312,train,dump/alphanumeric_features/1233_prompt.pth,dump/alphanumeric_features/1233_seq.pth,dump/alphanumeric/1233_prompt.wav,dump/alphanumeric/1233_seq.wav
mi,am i,o1fqzh,oh one ef q zed h,GenericPronunciation,p276,train,dump/alphanumeric_features/1234_prompt.pth,dump/alphanumeric_features/1234_seq.pth,dump/alphanumeric/1234_prompt.wav,dump/alphanumeric/1234_seq.wav
bm,bee m,uj5nxj,uu jay five n x j,GenericPronunciation,p302,train,dump/alphanumeric_features/1235_prompt.pth,dump/alphanumeric_features/1235_seq.pth,dump/alphanumeric/1235_prompt.wav,dump/alphanumeric/1235_seq.wav
db,dee bee,ls5u2b,el es five uu two bee,GenericPronunciation,p270,train,dump/alphanumeric_features/1236_prompt.pth,dump/alphanumeric_features/1236_seq.pth,dump/alphanumeric/1236_prompt.wav,dump/alphanumeric/1236_seq.wav
uddy,uu dee dee why,ozq3vr,oh zee q three wee arr,GenericPronunciation,p293,train,dump/alphanumeric_features/1237_prompt.pth,dump/alphanumeric_features/1237_seq.pth,dump/alphanumeric/1237_prompt.wav,dump/alphanumeric/1237_seq.wav
8718,eight seven one eight,52h5v1,faaev too h faaev v one,GenericPronunciation,p270,train,dump/alphanumeric_features/1239_prompt.pth,dump/alphanumeric_features/1239_seq.pth,dump/alphanumeric/1239_prompt.wav,dump/alphanumeric/1239_seq.wav
78,seven eight,3oki4q,three o k i fo cuu,GenericPronunciation,p286,train,dump/alphanumeric_features/1240_prompt.pth,dump/alphanumeric_features/1240_seq.pth,dump/alphanumeric/1240_prompt.wav,dump/alphanumeric/1240_seq.wav
xadw,eks ae dee double you,9u1t12,nine you one tee one too,GenericPronunciation,p272,train,dump/alphanumeric_features/1242_prompt.pth,dump/alphanumeric_features/1242_seq.pth,dump/alphanumeric/1242_prompt.wav,dump/alphanumeric/1242_seq.wav
278,two seven eight,fefwgx,ef ee ef double u jee x,GenericPronunciation,p260,train,dump/alphanumeric_features/1243_prompt.pth,dump/alphanumeric_features/1243_seq.pth,dump/alphanumeric/1243_prompt.wav,dump/alphanumeric/1243_seq.wav
65,six faaev,x86mo3,x eight six em oh three,GenericPronunciation,p286,train,dump/alphanumeric_features/1244_prompt.pth,dump/alphanumeric_features/1244_seq.pth,dump/alphanumeric/1244_prompt.wav,dump/alphanumeric/1244_seq.wav
tyo,ti wai oo,z4pb8c,z fo p bee eight see,GenericPronunciation,p312,train,dump/alphanumeric_features/1245_prompt.pth,dump/alphanumeric_features/1245_seq.pth,dump/alphanumeric/1245_prompt.wav,dump/alphanumeric/1245_seq.wav
c0hz,see zero haych zee,g3617m,jee three six one seven em,GenericPronunciation,p362,train,dump/alphanumeric_features/1246_prompt.pth,dump/alphanumeric_features/1246_seq.pth,dump/alphanumeric/1246_prompt.wav,dump/alphanumeric/1246_seq.wav
092,zero nine too,y8tlj4,why eight tee l j four,GenericPronunciation,p318,train,dump/alphanumeric_features/1247_prompt.pth,dump/alphanumeric_features/1247_seq.pth,dump/alphanumeric/1247_prompt.wav,dump/alphanumeric/1247_seq.wav
yj,y jay,zpl82s,zed pee l eight two s,GenericPronunciation,p299,train,dump/alphanumeric_features/1248_prompt.pth,dump/alphanumeric_features/1248_seq.pth,dump/alphanumeric/1248_prompt.wav,dump/alphanumeric/1248_seq.wav
duq,dee uu cuu,1fevfy,one ef ee v ef why,GenericPronunciation,p308,train,dump/alphanumeric_features/1249_prompt.pth,dump/alphanumeric_features/1249_seq.pth,dump/alphanumeric/1249_prompt.wav,dump/alphanumeric/1249_seq.wav
50,faaev zero,471lbj,four seven one el bee j,GenericPronunciation,p333,train,dump/alphanumeric_features/1251_prompt.pth,dump/alphanumeric_features/1251_seq.pth,dump/alphanumeric/1251_prompt.wav,dump/alphanumeric/1251_seq.wav
izo,i zee oh,u5euyw,you five ee uu why double you,GenericPronunciation,p330,train,dump/alphanumeric_features/1252_prompt.pth,dump/alphanumeric_features/1252_seq.pth,dump/alphanumeric/1252_prompt.wav,dump/alphanumeric/1252_seq.wav
gbw,jee bee double u,v1ps5u,v one p es five you,GenericPronunciation,p360,train,dump/alphanumeric_features/1254_prompt.pth,dump/alphanumeric_features/1254_seq.pth,dump/alphanumeric/1254_prompt.wav,dump/alphanumeric/1254_seq.wav
14,one four,ws1zgv,double u s one z jee wee,GenericPronunciation,p341,train,dump/alphanumeric_features/1255_prompt.pth,dump/alphanumeric_features/1255_seq.pth,dump/alphanumeric/1255_prompt.wav,dump/alphanumeric/1255_seq.wav
c0hz,see zero h zed,sui3wk,es you eye three double u k,GenericPronunciation,p362,train,dump/alphanumeric_features/1256_prompt.pth,dump/alphanumeric_features/1256_seq.pth,dump/alphanumeric/1256_prompt.wav,dump/alphanumeric/1256_seq.wav
848,eight fo eight,d0zjgn,dee zero z j jee aen,GenericPronunciation,p333,train,dump/alphanumeric_features/1257_prompt.pth,dump/alphanumeric_features/1257_seq.pth,dump/alphanumeric/1257_prompt.wav,dump/alphanumeric/1257_seq.wav
yj,wai jay,ukywlp,you k wai double u l p,GenericPronunciation,p308,train,dump/alphanumeric_features/1258_prompt.pth,dump/alphanumeric_features/1258_seq.pth,dump/alphanumeric/1258_prompt.wav,dump/alphanumeric/1258_seq.wav
m7,am seven,slbm9g,es el bee am nine jee,GenericPronunciation,p281,train,dump/alphanumeric_features/1259_prompt.pth,dump/alphanumeric_features/1259_seq.pth,dump/alphanumeric/1259_prompt.wav,dump/alphanumeric/1259_seq.wav
ef,ee ef,oyanjo,oh y ae aen j oh,GenericPronunciation,p341,train,dump/alphanumeric_features/1261_prompt.pth,dump/alphanumeric_features/1261_seq.pth,dump/alphanumeric/1261_prompt.wav,dump/alphanumeric/1261_seq.wav
092,zero nine two,v69piq,wee six nine p eye q,GenericPronunciation,p333,train,dump/alphanumeric_features/1262_prompt.pth,dump/alphanumeric_features/1262_seq.pth,dump/alphanumeric/1262_prompt.wav,dump/alphanumeric/1262_seq.wav
731,seven three one,ogypxa,o jee why pee x ae,GenericPronunciation,p363,train,dump/alphanumeric_features/1263_prompt.pth,dump/alphanumeric_features/1263_seq.pth,dump/alphanumeric/1263_prompt.wav,dump/alphanumeric/1263_seq.wav
74,seven four,a4z9yd,ae four z nine wai dee,GenericPronunciation,p360,train,dump/alphanumeric_features/1265_prompt.pth,dump/alphanumeric_features/1265_seq.pth,dump/alphanumeric/1265_prompt.wav,dump/alphanumeric/1265_seq.wav
14,one four,egm530,ee jee em five three zero,GenericPronunciation,p287,train,dump/alphanumeric_features/1266_prompt.pth,dump/alphanumeric_features/1266_seq.pth,dump/alphanumeric/1266_prompt.wav,dump/alphanumeric/1266_seq.wav
8774,eight seven seven four,ifwiye,eye ef double you eye y ee,GenericPronunciation,p280,train,dump/alphanumeric_features/1267_prompt.pth,dump/alphanumeric_features/1267_seq.pth,dump/alphanumeric/1267_prompt.wav,dump/alphanumeric/1267_seq.wav
74,seven fo,ku0hc0,k you zero haych see zero,GenericPronunciation,p255,train,dump/alphanumeric_features/1268_prompt.pth,dump/alphanumeric_features/1268_seq.pth,dump/alphanumeric/1268_prompt.wav,dump/alphanumeric/1268_seq.wav
bai,bee ae eye,mqgd4w,am cuu jee dee four double u,GenericPronunciation,p292,train,dump/alphanumeric_features/1269_prompt.pth,dump/alphanumeric_features/1269_seq.pth,dump/alphanumeric/1269_prompt.wav,dump/alphanumeric/1269_seq.wav
tc,ti see,6nvag1,six aen v ae jee one,GenericPronunciation,p258,train,dump/alphanumeric_features/1270_prompt.pth,dump/alphanumeric_features/1270_seq.pth,dump/alphanumeric/1270_prompt.wav,dump/alphanumeric/1270_seq.wav
wc,double you see,1vyal6,one wee y ae el six,GenericPronunciation,p280,train,dump/alphanumeric_features/1271_prompt.pth,dump/alphanumeric_features/1271_seq.pth,dump/alphanumeric/1271_prompt.wav,dump/alphanumeric/1271_seq.wav
4811,four eight one one,z9quaj,zed nine cuu uu ae jay,GenericPronunciation,p317,train,dump/alphanumeric_features/1273_prompt.pth,dump/alphanumeric_features/1273_seq.pth,dump/alphanumeric/1273_prompt.wav,dump/alphanumeric/1273_seq.wav
qq,cuu cuu,60qyv5,six zero q wai wee five,GenericPronunciation,p345,train,dump/alphanumeric_features/1275_prompt.pth,dump/alphanumeric_features/1275_seq.pth,dump/alphanumeric/1275_prompt.wav,dump/alphanumeric/1275_seq.wav
lbm,el bee am,o15j5b,o one faaev j faaev bee,GenericPronunciation,p285,train,dump/alphanumeric_features/1276_prompt.pth,dump/alphanumeric_features/1276_seq.pth,dump/alphanumeric/1276_prompt.wav,dump/alphanumeric/1276_seq.wav
hi,aeych eye,g93l38,jee nine three l three eight,GenericPronunciation,p299,train,dump/alphanumeric_features/1277_prompt.pth,dump/alphanumeric_features/1277_seq.pth,dump/alphanumeric/1277_prompt.wav,dump/alphanumeric/1277_seq.wav
4542,four faaev four two,axjypf,ae eks j y pee ef,GenericPronunciation,p303,train,dump/alphanumeric_features/1278_prompt.pth,dump/alphanumeric_features/1278_seq.pth,dump/alphanumeric/1278_prompt.wav,dump/alphanumeric/1278_seq.wav
zh,zee aeych,mvgm5a,am v jee am five ae,GenericPronunciation,p305,train,dump/alphanumeric_features/1279_prompt.pth,dump/alphanumeric_features/1279_seq.pth,dump/alphanumeric/1279_prompt.wav,dump/alphanumeric/1279_seq.wav
35,three faaev,hdnnn6,h dee en en en six,GenericPronunciation,p265,train,dump/alphanumeric_features/1280_prompt.pth,dump/alphanumeric_features/1280_seq.pth,dump/alphanumeric/1280_prompt.wav,dump/alphanumeric/1280_seq.wav
3sk,three es k,1311kr,one three one one kay arr,GenericPronunciation,p255,train,dump/alphanumeric_features/1281_prompt.pth,dump/alphanumeric_features/1281_seq.pth,dump/alphanumeric/1281_prompt.wav,dump/alphanumeric/1281_seq.wav
wc,double you see,do3u6i,dee oo three uu six eye,GenericPronunciation,p323,train,dump/alphanumeric_features/1282_prompt.pth,dump/alphanumeric_features/1282_seq.pth,dump/alphanumeric/1282_prompt.wav,dump/alphanumeric/1282_seq.wav
861,eight six one,i0wxrs,eye zero double you x r s,GenericPronunciation,p304,train,dump/alphanumeric_features/1284_prompt.pth,dump/alphanumeric_features/1284_seq.pth,dump/alphanumeric/1284_prompt.wav,dump/alphanumeric/1284_seq.wav
tyo,ti wai oh,nisgr8,aen i s jee arr eight,GenericPronunciation,p308,train,dump/alphanumeric_features/1285_prompt.pth,dump/alphanumeric_features/1285_seq.pth,dump/alphanumeric/1285_prompt.wav,dump/alphanumeric/1285_seq.wav
lef,l ee ef,pepzse,p ee p zed es ee,GenericPronunciation,p295,train,dump/alphanumeric_features/1287_prompt.pth,dump/alphanumeric_features/1287_seq.pth,dump/alphanumeric/1287_prompt.wav,dump/alphanumeric/1287_seq.wav
016,zero one six,5xwki5,five x double u k i five,GenericPronunciation,p282,train,dump/alphanumeric_features/1288_prompt.pth,dump/alphanumeric_features/1288_seq.pth,dump/alphanumeric/1288_prompt.wav,dump/alphanumeric/1288_seq.wav
97,nine seven,jf87bp,j ef eight seven bee pee,GenericPronunciation,p273,train,dump/alphanumeric_features/1291_prompt.pth,dump/alphanumeric_features/1291_seq.pth,dump/alphanumeric/1291_prompt.wav,dump/alphanumeric/1291_seq.wav
7626,seven six two six,wzu8sz,double you z uu eight es z,GenericPronunciation,p317,train,dump/alphanumeric_features/1292_prompt.pth,dump/alphanumeric_features/1292_seq.pth,dump/alphanumeric/1292_prompt.wav,dump/alphanumeric/1292_seq.wav
848,eight fo eight,rgztxi,aar jee zed ti eks eye,GenericPronunciation,p285,train,dump/alphanumeric_features/1293_prompt.pth,dump/alphanumeric_features/1293_seq.pth,dump/alphanumeric/1293_prompt.wav,dump/alphanumeric/1293_seq.wav
569,faaev six nine,l17yil,el one seven why i el,GenericPronunciation,p254,train,dump/alphanumeric_features/1294_prompt.pth,dump/alphanumeric_features/1294_seq.pth,dump/alphanumeric/1294_prompt.wav,dump/alphanumeric/1294_seq.wav
861,eight six one,op1vb5,oo pee one wee bee faaev,GenericPronunciation,p347,train,dump/alphanumeric_features/1295_prompt.pth,dump/alphanumeric_features/1295_seq.pth,dump/alphanumeric/1295_prompt.wav,dump/alphanumeric/1295_seq.wav
j0,jay zero,80rsxn,eight zero arr es x n,GenericPronunciation,p299,train,dump/alphanumeric_features/1296_prompt.pth,dump/alphanumeric_features/1296_seq.pth,dump/alphanumeric/1296_prompt.wav,dump/alphanumeric/1296_seq.wav
3sk,three es kay,kieg6l,k i ee jee six el,GenericPronunciation,p318,train,dump/alphanumeric_features/1298_prompt.pth,dump/alphanumeric_features/1298_seq.pth,dump/alphanumeric/1298_prompt.wav,dump/alphanumeric/1298_seq.wav
980,nine eight zero,ulhzoe,uu l aeych z o ee,GenericPronunciation,p297,train,dump/alphanumeric_features/1299_prompt.pth,dump/alphanumeric_features/1299_seq.pth,dump/alphanumeric/1299_prompt.wav,dump/alphanumeric/1299_seq.wav
ua0,uu ae zero,s8fxow,es eight ef x oh double you,GenericPronunciation,p273,train,dump/alphanumeric_features/1300_prompt.pth,dump/alphanumeric_features/1300_seq.pth,dump/alphanumeric/1300_prompt.wav,dump/alphanumeric/1300_seq.wav
150,one five zero,mlvhnb,em l v aeych n bee,GenericPronunciation,p261,train,dump/alphanumeric_features/1301_prompt.pth,dump/alphanumeric_features/1301_seq.pth,dump/alphanumeric/1301_prompt.wav,dump/alphanumeric/1301_seq.wav
35,three faaev,coxskl,see oo x s kay el,GenericPronunciation,p277,train,dump/alphanumeric_features/1302_prompt.pth,dump/alphanumeric_features/1302_seq.pth,dump/alphanumeric/1302_prompt.wav,dump/alphanumeric/1302_seq.wav
150,one faaev zero,t5yguu,tee faaev why jee you uu,GenericPronunciation,p265,train,dump/alphanumeric_features/1303_prompt.pth,dump/alphanumeric_features/1303_seq.pth,dump/alphanumeric/1303_prompt.wav,dump/alphanumeric/1303_seq.wav
861,eight six one,r321ob,arr three too one o bee,GenericPronunciation,p301,train,dump/alphanumeric_features/1304_prompt.pth,dump/alphanumeric_features/1304_seq.pth,dump/alphanumeric/1304_prompt.wav,dump/alphanumeric/1304_seq.wav
off,o ef ef,jytdow,jay why ti dee oo double u,GenericPronunciation,p252,train,dump/alphanumeric_features/1305_prompt.pth,dump/alphanumeric_features/1305_seq.pth,dump/alphanumeric/1305_prompt.wav,dump/alphanumeric/1305_seq.wav
88,eight eight,pg16nz,pee jee one six aen z,GenericPronunciation,p361,train,dump/alphanumeric_features/1307_prompt.pth,dump/alphanumeric_features/1307_seq.pth,dump/alphanumeric/1307_prompt.wav,dump/alphanumeric/1307_seq.wav
ef,ee ef,qaab4h,cuu ae ae bee four aeych,GenericPronunciation,p267,train,dump/alphanumeric_features/1308_prompt.pth,dump/alphanumeric_features/1308_seq.pth,dump/alphanumeric/1308_prompt.wav,dump/alphanumeric/1308_seq.wav
gf,jee ef,rhs7b1,r haych es seven bee one,GenericPronunciation,p266,train,dump/alphanumeric_features/1309_prompt.pth,dump/alphanumeric_features/1309_seq.pth,dump/alphanumeric/1309_prompt.wav,dump/alphanumeric/1309_seq.wav
spev,s p ee v,j9phky,jay nine p haych kay y,GenericPronunciation,p265,train,dump/alphanumeric_features/1310_prompt.pth,dump/alphanumeric_features/1310_seq.pth,dump/alphanumeric/1310_prompt.wav,dump/alphanumeric/1310_seq.wav
dfo,dee ef oo,ifd9rs,i ef dee nine aar es,GenericPronunciation,p318,train,dump/alphanumeric_features/1311_prompt.pth,dump/alphanumeric_features/1311_seq.pth,dump/alphanumeric/1311_prompt.wav,dump/alphanumeric/1311_seq.wav
lbf,l bee ef,l4vu1b,l four v you one bee,GenericPronunciation,p266,train,dump/alphanumeric_features/1312_prompt.pth,dump/alphanumeric_features/1312_seq.pth,dump/alphanumeric/1312_prompt.wav,dump/alphanumeric/1312_seq.wav
505,faaev zero faaev,2ocpkd,two oo see p k dee,GenericPronunciation,p312,train,dump/alphanumeric_features/1314_prompt.pth,dump/alphanumeric_features/1314_seq.pth,dump/alphanumeric/1314_prompt.wav,dump/alphanumeric/1314_seq.wav
46,fo six,49hitd,fo nine h i ti dee,GenericPronunciation,p294,train,dump/alphanumeric_features/1315_prompt.pth,dump/alphanumeric_features/1315_seq.pth,dump/alphanumeric/1315_prompt.wav,dump/alphanumeric/1315_seq.wav
574,faaev seven four,h4b26y,h four bee two six why,GenericPronunciation,p297,train,dump/alphanumeric_features/1316_prompt.pth,dump/alphanumeric_features/1316_seq.pth,dump/alphanumeric/1316_prompt.wav,dump/alphanumeric/1316_seq.wav
861,eight six one,4213xj,fo too one three x jay,GenericPronunciation,p314,train,dump/alphanumeric_features/1317_prompt.pth,dump/alphanumeric_features/1317_seq.pth,dump/alphanumeric/1317_prompt.wav,dump/alphanumeric/1317_seq.wav
aa00,ae ae zero zero,4o92tr,four o nine two tee r,GenericPronunciation,p340,train,dump/alphanumeric_features/1318_prompt.pth,dump/alphanumeric_features/1318_seq.pth,dump/alphanumeric/1318_prompt.wav,dump/alphanumeric/1318_seq.wav
ndwr,aen dee double u arr,pnbr1j,p aen bee aar one jay,GenericPronunciation,p343,train,dump/alphanumeric_features/1319_prompt.pth,dump/alphanumeric_features/1319_seq.pth,dump/alphanumeric/1319_prompt.wav,dump/alphanumeric/1319_seq.wav
278,too seven eight,nd6uau,en dee six you ae uu,GenericPronunciation,p345,train,dump/alphanumeric_features/1320_prompt.pth,dump/alphanumeric_features/1320_seq.pth,dump/alphanumeric/1320_prompt.wav,dump/alphanumeric/1320_seq.wav
